PropertyChangedEvent{title='Billie Jean', newState=started, previousState=created, timeOfChange=2022-03-12 13:51:54.314}
PropertyChangedEvent{title='Thriller', newState=started, previousState=created, timeOfChange=2022-03-12 13:51:54.335}
PropertyChangedEvent{title='Never gonna give you up', newState=started, previousState=created, timeOfChange=2022-03-12 13:51:54.337}
PropertyChangedEvent{title='Numa numa', newState=started, previousState=created, timeOfChange=2022-03-12 13:51:54.337}
PropertyChangedEvent{title='Billie Jean', newState=created, previousState=created, timeOfChange=2022-03-12 13:51:54.356}
PropertyChangedEvent{title='Thriller', newState=created, previousState=created, timeOfChange=2022-03-12 13:51:54.358}
PropertyChangedEvent{title='Never gonna give you up', newState=created, previousState=created, timeOfChange=2022-03-12 13:51:54.358}
PropertyChangedEvent{title='Numa numa', newState=created, previousState=created, timeOfChange=2022-03-12 13:51:54.358}
PropertyChangedEvent{title='Billie Jean', newState=stopped, previousState=created, timeOfChange=2022-03-12 13:51:54.359}
PropertyChangedEvent{title='Thriller', newState=stopped, previousState=created, timeOfChange=2022-03-12 13:51:54.359}
PropertyChangedEvent{title='Never gonna give you up', newState=stopped, previousState=created, timeOfChange=2022-03-12 13:51:54.359}
PropertyChangedEvent{title='Numa numa', newState=stopped, previousState=created, timeOfChange=2022-03-12 13:51:54.36}
PropertyChangedEvent{title='Billie Jean', newState=started, previousState=created, timeOfChange=2022-03-12 13:51:54.363}
PropertyChangedEvent{title='Thriller', newState=started, previousState=created, timeOfChange=2022-03-12 13:51:54.363}
PropertyChangedEvent{title='Never gonna give you up', newState=started, previousState=created, timeOfChange=2022-03-12 13:51:54.363}
PropertyChangedEvent{title='Numa numa', newState=started, previousState=created, timeOfChange=2022-03-12 13:51:54.364}
PropertyChangedEvent{title='Billie Jean', newState=paused, previousState=started, timeOfChange=2022-03-12 13:51:54.364}
PropertyChangedEvent{title='Thriller', newState=paused, previousState=started, timeOfChange=2022-03-12 13:51:54.364}
PropertyChangedEvent{title='Never gonna give you up', newState=paused, previousState=started, timeOfChange=2022-03-12 13:51:54.364}
PropertyChangedEvent{title='Numa numa', newState=paused, previousState=started, timeOfChange=2022-03-12 13:51:54.364}
PropertyChangedEvent{title='Billie Jean', newState=paused, previousState=created, timeOfChange=2022-03-12 13:51:54.37}
PropertyChangedEvent{title='Thriller', newState=paused, previousState=created, timeOfChange=2022-03-12 13:51:54.37}
PropertyChangedEvent{title='Never gonna give you up', newState=paused, previousState=created, timeOfChange=2022-03-12 13:51:54.37}
PropertyChangedEvent{title='Numa numa', newState=paused, previousState=created, timeOfChange=2022-03-12 13:51:54.37}
PropertyChangedEvent{title='Billie Jean', newState=resumed, previousState=paused, timeOfChange=2022-03-12 13:51:54.371}
PropertyChangedEvent{title='Thriller', newState=resumed, previousState=paused, timeOfChange=2022-03-12 13:51:54.371}
PropertyChangedEvent{title='Never gonna give you up', newState=resumed, previousState=paused, timeOfChange=2022-03-12 13:51:54.371}
PropertyChangedEvent{title='Numa numa', newState=resumed, previousState=paused, timeOfChange=2022-03-12 13:51:54.375}
PropertyChangedEvent{title='Billie Jean', newState=started, previousState=created, timeOfChange=2022-03-12 13:51:54.38}
PropertyChangedEvent{title='Thriller', newState=started, previousState=created, timeOfChange=2022-03-12 13:51:54.381}
PropertyChangedEvent{title='Never gonna give you up', newState=started, previousState=created, timeOfChange=2022-03-12 13:51:54.381}
PropertyChangedEvent{title='Numa numa', newState=started, previousState=created, timeOfChange=2022-03-12 13:51:54.381}
PropertyChangedEvent{title='Billie Jean', newState=stopped, previousState=started, timeOfChange=2022-03-12 13:51:54.382}
PropertyChangedEvent{title='Thriller', newState=stopped, previousState=started, timeOfChange=2022-03-12 13:51:54.382}
PropertyChangedEvent{title='Never gonna give you up', newState=stopped, previousState=started, timeOfChange=2022-03-12 13:51:54.387}
PropertyChangedEvent{title='Numa numa', newState=stopped, previousState=started, timeOfChange=2022-03-12 13:51:54.388}
PropertyChangedEvent{title='Billie Jean', newState=resumed, previousState=stopped, timeOfChange=2022-03-12 13:51:54.389}
PropertyChangedEvent{title='Thriller', newState=resumed, previousState=stopped, timeOfChange=2022-03-12 13:51:54.39}
PropertyChangedEvent{title='Never gonna give you up', newState=resumed, previousState=stopped, timeOfChange=2022-03-12 13:51:54.391}
PropertyChangedEvent{title='Numa numa', newState=resumed, previousState=stopped, timeOfChange=2022-03-12 13:51:54.392}
PropertyChangedEvent{title='Billie Jean', newState=stopped, previousState=resumed, timeOfChange=2022-03-12 13:51:54.393}
PropertyChangedEvent{title='Thriller', newState=stopped, previousState=resumed, timeOfChange=2022-03-12 13:51:54.394}
PropertyChangedEvent{title='Never gonna give you up', newState=stopped, previousState=resumed, timeOfChange=2022-03-12 13:51:54.394}
PropertyChangedEvent{title='Numa numa', newState=stopped, previousState=resumed, timeOfChange=2022-03-12 13:51:54.395}
PropertyChangedEvent{title='Billie Jean', newState=started, previousState=created, timeOfChange=2022-03-12 13:51:54.399}
PropertyChangedEvent{title='Thriller', newState=started, previousState=created, timeOfChange=2022-03-12 13:51:54.4}
PropertyChangedEvent{title='Never gonna give you up', newState=started, previousState=created, timeOfChange=2022-03-12 13:51:54.4}
PropertyChangedEvent{title='Numa numa', newState=started, previousState=created, timeOfChange=2022-03-12 13:51:54.4}
PropertyChangedEvent{title='Billie Jean', newState=paused, previousState=started, timeOfChange=2022-03-12 13:51:54.401}
PropertyChangedEvent{title='Thriller', newState=paused, previousState=started, timeOfChange=2022-03-12 13:51:54.401}
PropertyChangedEvent{title='Never gonna give you up', newState=paused, previousState=started, timeOfChange=2022-03-12 13:51:54.401}
PropertyChangedEvent{title='Numa numa', newState=paused, previousState=started, timeOfChange=2022-03-12 13:51:54.403}
PropertyChangedEvent{title='Billie Jean', newState=stopped, previousState=created, timeOfChange=2022-03-12 13:51:54.409}
PropertyChangedEvent{title='Thriller', newState=stopped, previousState=created, timeOfChange=2022-03-12 13:51:54.409}
PropertyChangedEvent{title='Never gonna give you up', newState=stopped, previousState=created, timeOfChange=2022-03-12 13:51:54.41}
PropertyChangedEvent{title='Numa numa', newState=stopped, previousState=created, timeOfChange=2022-03-12 13:51:54.411}
PropertyChangedEvent{title='Billie Jean', newState=started, previousState=created, timeOfChange=2022-03-12 13:51:54.42}
PropertyChangedEvent{title='Thriller', newState=started, previousState=created, timeOfChange=2022-03-12 13:51:54.422}
PropertyChangedEvent{title='Never gonna give you up', newState=started, previousState=created, timeOfChange=2022-03-12 13:51:54.423}
PropertyChangedEvent{title='Numa numa', newState=started, previousState=created, timeOfChange=2022-03-12 13:51:54.424}
PropertyChangedEvent{title='Billie Jean', newState=paused, previousState=created, timeOfChange=2022-03-12 13:51:54.428}
PropertyChangedEvent{title='Thriller', newState=paused, previousState=created, timeOfChange=2022-03-12 13:51:54.429}
PropertyChangedEvent{title='Never gonna give you up', newState=paused, previousState=created, timeOfChange=2022-03-12 13:51:54.429}
PropertyChangedEvent{title='Numa numa', newState=paused, previousState=created, timeOfChange=2022-03-12 13:51:54.429}
PropertyChangedEvent{title='Billie Jean', newState=resumed, previousState=paused, timeOfChange=2022-03-12 13:51:54.429}
PropertyChangedEvent{title='Thriller', newState=resumed, previousState=paused, timeOfChange=2022-03-12 13:51:54.429}
PropertyChangedEvent{title='Never gonna give you up', newState=resumed, previousState=paused, timeOfChange=2022-03-12 13:51:54.43}
PropertyChangedEvent{title='Numa numa', newState=resumed, previousState=paused, timeOfChange=2022-03-12 13:51:54.43}
PropertyChangedEvent{title='Billie Jean', newState=created, previousState=created, timeOfChange=2022-03-12 13:51:54.432}
PropertyChangedEvent{title='Thriller', newState=created, previousState=created, timeOfChange=2022-03-12 13:51:54.433}
PropertyChangedEvent{title='Never gonna give you up', newState=created, previousState=created, timeOfChange=2022-03-12 13:51:54.434}
PropertyChangedEvent{title='Numa numa', newState=created, previousState=created, timeOfChange=2022-03-12 13:51:54.434}
PropertyChangedEvent{title='Billie Jean', newState=stopped, previousState=created, timeOfChange=2022-03-12 13:51:54.434}
PropertyChangedEvent{title='Thriller', newState=stopped, previousState=created, timeOfChange=2022-03-12 13:51:54.435}
PropertyChangedEvent{title='Never gonna give you up', newState=stopped, previousState=created, timeOfChange=2022-03-12 13:51:54.435}
PropertyChangedEvent{title='Numa numa', newState=stopped, previousState=created, timeOfChange=2022-03-12 13:51:54.436}
PropertyChangedEvent{title='Billie Jean', newState=paused, previousState=stopped, timeOfChange=2022-03-12 13:51:54.436}
PropertyChangedEvent{title='Thriller', newState=paused, previousState=stopped, timeOfChange=2022-03-12 13:51:54.436}
PropertyChangedEvent{title='Never gonna give you up', newState=paused, previousState=stopped, timeOfChange=2022-03-12 13:51:54.437}
PropertyChangedEvent{title='Numa numa', newState=paused, previousState=stopped, timeOfChange=2022-03-12 13:51:54.437}
PropertyChangedEvent{title='Billie Jean', newState=stopped, previousState=paused, timeOfChange=2022-03-12 13:51:54.437}
PropertyChangedEvent{title='Thriller', newState=stopped, previousState=paused, timeOfChange=2022-03-12 13:51:54.437}
PropertyChangedEvent{title='Never gonna give you up', newState=stopped, previousState=paused, timeOfChange=2022-03-12 13:51:54.438}
PropertyChangedEvent{title='Numa numa', newState=stopped, previousState=paused, timeOfChange=2022-03-12 13:51:54.438}
PropertyChangedEvent{title='Billie Jean', newState=created, previousState=created, timeOfChange=2022-03-12 13:51:54.464}
PropertyChangedEvent{title='Thriller', newState=created, previousState=created, timeOfChange=2022-03-12 13:51:54.465}
PropertyChangedEvent{title='Never gonna give you up', newState=created, previousState=created, timeOfChange=2022-03-12 13:51:54.473}
PropertyChangedEvent{title='Numa numa', newState=created, previousState=created, timeOfChange=2022-03-12 13:51:54.477}
PropertyChangedEvent{title='Billie Jean', newState=started, previousState=created, timeOfChange=2022-03-12 13:51:54.478}
PropertyChangedEvent{title='Thriller', newState=started, previousState=created, timeOfChange=2022-03-12 13:51:54.478}
PropertyChangedEvent{title='Never gonna give you up', newState=started, previousState=created, timeOfChange=2022-03-12 13:51:54.478}
PropertyChangedEvent{title='Numa numa', newState=started, previousState=created, timeOfChange=2022-03-12 13:51:54.478}
PropertyChangedEvent{title='Billie Jean', newState=resumed, previousState=started, timeOfChange=2022-03-12 13:51:54.479}
